Date;Projet;Description;Temps (en heure);Tache
2020-10-01;PlateauUrbain;getter / setter specifiques;2;CommuneMesures
2020-10-05;PlateauUrbain;modif page home;0,5;CommuneMesures
2020-10-06;PlateauUrbain;Sprint 4 Amélioration des interfaces;7;CommuneMesures
2020-10-08;PlateauUrbain;Mise en valeur des Lieux;14;CommuneMesures
2020-10-13;PlateauUrbain;Fine Tuning;5;CommuneMesures
2020-10-13;PlateauUrbain;sprint pre-présentation;4;CommuneMesures
2020-10-14;PlateauUrbain;Ajout données;2;CommuneMesures
2020-10-14;PlateauUrbain;Fine Tuning;2;CommuneMesures
2020-10-14;PlateauUrbain;sprint pre-présentation;5;CommuneMesures
2020-10-15;PlateauUrbain;cleanage code;1;CommuneMesures
2020-10-15;PlateauUrbain;Prez Voltaire;0;Reunion
2020-10-31;PlateauUrbain;Direction technique;14;CommuneMesures
2020-10-31;PlateauUrbain;Mini finetuning;10,5;CommuneMesures
2020-10-31;PlateauUrbain;Modification;12;CommuneMesures
