Date;Projet;Description;Temps (en heure);Tâche (pas obligatoire)
2025-07-31;VinsIGP;TMA;8.5;TMA
2025-07-31;VinsIGP;TMA;3,5;TMA
2025-07-31;VinsIGP;Assistance / Demande;3,5;TMA
2025-07-31;ODGProvence;TMA;3;TMA
2025-07-31;ODGProvence;Sprint;7,0;SprintEvolution
2025-07-31;ODGProvence;Sprint;3,5;SprintEvolution
2025-07-31;ODGProvence;Assistance / Demande;1;TMA
2025-07-31;NLNet;Watermark change color;2,0;Watermark
2025-07-31;NLNet;SignaturePDF Watermark;0.5;Watermark
2025-07-31;NLNet;SignaturePDF Toolbox;21;Toolbox
2025-07-31;NLNet;SignaturePDF Opti;4;Opti
2025-07-31;NLNet;SignaturePDF FactureX;3.5;FactureX
2025-07-31;NLNet;SignaturePDF Admin Deletion;7;DeletionLink
2025-07-31;NLNet;Generate a booklet;14;Booklet
2025-07-31;NLNet;Change and unify page format;10,5;Format
2025-07-31;NathanMode;Visios;3,5;Forfait
2025-07-31;NathanMode;Sprint 2 : évolutions formulaire production;38,5;Forfait
2025-07-31;NathanMode;Sprint;10,5;Forfait
2025-07-31;NathanMode;Réunion;2;Forfait
2025-07-31;NathanMode;Réunion;2,0;Forfait
2025-07-31;Juricaf;TMP;3,5;TMA
2025-07-31;IVSO;TMA;3,5;TMA
2025-07-31;IVSE;Assistance / Demande;1;TMA
2025-07-31;IVBD;TMA;3,5;TMA
2025-07-31;IR;Assistance / Demande;7;TMA
2025-07-31;IGPSudOuest;Forfait - Sprint 1;28;Forfait
2025-07-31;IGPSudOuest;Fine tuning;14;Forfait
2025-07-31;IGPSudOuest;Dév et finetuning;21;Forfait
2025-07-31;Gaillac;Sprint;7;Forfait
2025-07-31;Gaillac;Reunion Sprint;2;Forfait
2025-07-31;Gaillac;Forfait;31,5;Forfait
2025-07-31;Gaillac;Fine tuning;14;Forfait
2025-07-31;Gaillac;Fine tuning;14;Forfait
2025-07-31;Gaillac;Dev Sprint;4;Forfait
2025-07-31;Gaillac;Dev;3,5;Forfait
2025-07-31;Gaillac;Dév;14;Forfait
2025-07-31;CNIV;TMA;3,5;TMA
2025-07-31;CIVP;TMA;3,5;TMA
2025-07-31;CIVP;Assistance / Demande;14;TMA
2025-07-31;CIVA;TMA;7;TMA
2025-07-31;CIVA;TMA;7,0;TMA
2025-07-31;CIVA;TMA;1;TMA
2025-07-31;CIVA;Assistance / Demande;3,5;TMA
2025-07-31;BIVC;TMA;3,5;TMA
2025-07-31;AVA;TMA;3,5;TMA
2025-07-31;AVA;TMA;2;TMA
2025-07-31;AVA;TMA;2.5;TMA
2025-07-31;Aurouze;Touraine technicien application;1;TMA
2025-07-31;Aurouze;TMA;1,5;TMA
2025-07-31;Aurouze;Sprint;9;Sprint
2025-07-31;Aurouze;Assistance / Demande;2;TMA
2025-07-31;ADM;Reunion Sprint;2;Forfait
2025-07-31;ADM;Forfait Sprint 2;10,5;Forfait
2025-07-31;ADM;Dev Sprint;12;Forfait
2025-06-30;VinsIGP;TMA;7;TMA
2025-06-30;VinsIGP;TMA;7,0;TMA
2025-06-30;VinsIGP;TMA;3,5;TMA
2025-06-30;Ventoux;TMA;3,5;TMA
2025-06-30;Ventoux;TMA;1;TMA
2025-06-30;ODGRhone;TMA;0,5;TMA
2025-06-30;ODGRhone;Admin sys;3,5;Hébergement
2025-06-30;ODGProvence;TMA;7;TMA
2025-06-30;ODGProvence;Sprint;7,0;SprintEvolution
2025-06-30;NLNet;SignaturePDF Watermark;29;Forfait
2025-06-30;NLNet;SignaturePDF Retention Config;3,5;Forfait
2025-06-30;NLNet;SignaturePDF Multiline text;3,5;Forfait
2025-06-30;NLNet;SignaturePDF Metadata;7;Forfait
2025-06-30;NLNet;SignaturePDF Color;8;Forfait
2025-06-30;NLNet;SignaturePDF;7;Forfait
2025-06-30;NLNet;Couleur;1,5;Color
2025-06-30;NLNet;Caviardage;7,0;Redact
2025-06-30;NathanMode;Sprint 1 : instance Linup;38,5;Forfait
2025-06-30;IVSO;TMA nutrivin;2;Nutrivin
2025-06-30;IVSO;TMA;1,5;TMA
2025-06-30;IVSE;Assistance / Demande;3,5;TMA
2025-06-30;IVBD;TMA;7,0;TMA
2025-06-30;IR;Assistance / Demande;21;TMA
2025-06-30;IGPSudOuest;TMA;10,5;Forfait
2025-06-30;IGPSudOuest;Reunion Sprint;2;Forfait
2025-06-30;IGPSudOuest;Forfait - Sprint 1;28;Forfait
2025-06-30;IGPSudOuest;Dev Sprint;16;Forfait
2025-06-30;Gaillac;Forfait;21;Forfait
2025-06-30;CNIV;TMA;3,5;TMA
2025-06-30;CIVP;TMA CravatePDF;2;CravatePDF
2025-06-30;CIVP;Assistance / Demande;14;TMA
2025-06-30;CIVA;TMA;10,5;TMA
2025-06-30;CentreLoire;TMA;0,5;TMA
2025-06-30;BIVC;TMA;2,5;TMA
2025-06-30;BIVC;TMA;2,5;TMA
2025-06-30;BIVC;TMA;1;TMA
2025-06-30;AVA;TMA;4;TMA
