2017-06-01;Aurouze;Corrections de date dans un contrat;0,5;TMA
2017-06-01;AVA;Corrections de documents et notamment pour la facturation;2,5;TMA
2017-06-01;CIVA;Corrections d'une alerte Compte créé dans le contrats;1,5;TMA
2017-06-01;Formation;Mise à jour de la doc de la formation git;1,5;Formation
2017-06-02;24ème;Temps de mai et ndf;3,5;24ème
2017-06-02;AVA;Corrections de bug;3;TMA
2017-06-06;24ème;Temps de suivi projet;1;24ème
2017-06-06;CIVA;Liste des emails des soussignes + mise à jour tiers;2,5;TMA
2017-06-06;IVBD;Corrections de DRM pour la télédaclaration;1,5;TMA
2017-06-07;AVA;Corrections de bug et documents;1;TMA
2017-06-07;IVBD;Lien vers le blog;1,5;TMA
2017-06-07;IVSO;Transmission d'une DRM;1;TMA
2017-06-07;VINSI;Transmission de DRM et corrections de bug;3,5;TMA
2017-06-08;24ème;Tactical meeting;2;24ème
2017-06-08;IVBD;Lien vers le blog;2;TMA
2017-06-08;VINSI;Transmission de DRM et corrections de bug;3,5;TMA
2017-06-09;AVA;Réunion téléphonique VCI;2,5;TMA
2017-06-09;CIVA;Correction dans un contrat;0,5;TMA
2017-06-09;VINSI;Transmission de DRM et corrections de bug;2,5;TMA
2017-06-12;Aurouze;Corrections d'une facture;0,5;TMA
2017-06-12;AVA;Début de la refonte de l'ergonomie;3,5;Ergonomie
2017-06-12;CIVA;Correction doc edi;1;TMA
2017-06-13;AVA;Début de la refonte de l'ergonomie;4,5;Ergonomie
2017-06-13;IVBD;Transmission CIEL;0,5;TMA
2017-06-13;VINSI;Transmission de DRM et corrections de bug;2,5;TMA
2017-06-14;AVA;Refonte de l'ergonomie;7;Ergonomie
2017-06-15;Formation;Formation GIT Gendarme;7;Formation
2017-06-16;Formation;Formation GIT Gendarme;7;Formation
2017-06-19;Aurouze;Corrections d'une facture;0,5;TMA
2017-06-19;AVA;Refonte de l'ergonomie;7;Ergonomie
2017-06-20;AVA;Refonte de l'ergonomie;7;Ergonomie
2017-06-21;AVA;Refonte de l'ergonomie;7;Ergonomie
2017-06-22;AVA;Refonte de l'ergonomie;7;Ergonomie
2017-06-22;Sancerre;Mise à jour de la page CAS;1;TMA
2017-06-23;AVA;Refonte de l'ergonomie;3,5;Ergonomie
2017-06-23;Sancerre;Revu des mouvements;2;TMA
2017-06-26;24ème;NDF et administratif;3,5;24ème
2017-06-27;Savoie;Réunion;7;Réunion
2017-06-28;24ème;NDF et document administratif;2;24ème
2017-06-28;AVA;Refonte de l'ergonomie;7;Ergonomie
2017-06-29;24ème;Temps de juin et facturation;2,5;24ème
2017-06-29;AVA;Corrections pour la facturation;1;TMA
2017-06-29;AVA;Refonte de l'ergonomie;2;Ergonomie
2017-06-29;VINSI;Correction conf apache redirection;1;TMA
2017-06-30;CIVA;Tickets DRM;3,5;DRM
