2016-05-02;Aurouze;facture et commentaires;7;import
2016-05-02;Giilda;IVSO lancement cron FA;1;contrat FA
2016-05-03;Aurouze;passages rapides bons bleu;7;passages
2016-05-04;Aurouze;statut contrats techniciens;8;contrats
2016-05-05;Aurouze;prestations des passages;8;import
2016-05-06;Aurouze;créa modif de compte;8;compte
2016-05-07;Aurouze;visu société et import;5;import
2016-05-08;Aurouze;résiliation contrat et import;3;Mis en prod
2016-05-09;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-10;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-11;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-12;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-13;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-14;Aurouze;passages suivants ouverts en inter contrats;1;contrats
2016-05-17;24EME;point projet;3,5;24EME
2016-05-17;Aurouze;bon de passage et OSM;3,5;Compte
2016-05-18;Aurouze;annulation de passage;7;Passage
2016-05-19;Aurouze;import Paiements;7;Paiements
2016-05-21;Aurouze;import Paiements 2;2;Paiements
2016-05-23;24EME;visite médicale;1,5;Visite Médicale
2016-05-23;Aurouze; Paiements form;2;Paiements
2016-05-23;Giilda;Adaptation France Agrimer;2;Export
2016-05-24;Aurouze;Gestion form Etablissements;2;Compte
2016-05-24;Giilda;Adaptation Facture libre débug;5;Facture
2016-05-25;Aurouze;Changement de facturation contrat;2,5;Contrat
2016-05-25;Giilda;Adaptation Facture libre débug;4;Facture
2016-05-25;Giilda;Export Sage;1,5;Export
2016-05-25;VINSI;debug pour la saisie des revendiqués;1,5;TMA
2016-05-26;24EME;rencontre formation;1,5;Formation
2016-05-26;Aurouze;Paiement et facture;4;Import
2016-05-26;Giilda;prendre en compte en facturation libre les societes sans etbs;1,5;Facture
2016-05-27;Aurouze;Paiement saisie et visu;8;Paiement
2016-05-30;Aurouze;Paiement pdf;3;Paiement
2016-05-31;Aurouze;facture force cloture et decloture;6;Facture
