2018-01-02;Aurouze;gestion doc en attachement;2,5;TMA
2018-01-02;ODGRhone;gestion DREV;3,5;TMA
2018-01-03;VINSI;Debug sur contrat, résolution de DRM;2,5;TMA
2018-01-04;24EME;Mathurin SKI;7;Vacances
2018-01-05;24EME;Mathurin SKI;7;Vacances
2018-01-08;ODGRhone;Export Csv des comptes uniformisation;6;Forfait
2018-01-09;24EME;Tactical Meeting;3,5;Tactical Meeting
2018-01-10;Aurouze;Listing des contrats en erreurs;4,5;TMA
2018-01-10;ODGProvence;Réunion de lancement projet;3;AvantVente
2018-01-12;VINSI;Debug Compte suspendu actif;3,5;TMA
2018-01-12;VINSI;Répartition des contrat;1,5;TMA
2018-01-15;ODGRhone;Ticket habilitation avec non historisation des adresses;7;Forfait
2018-01-16;Aurouze;Stats de l'année;2,5;TMA
2018-01-16;ODGRhone;Saisie des Drev avec volume à 0;3,5;Forfait
2018-01-17;ODGRhone;Sortir les export par liste d'identifiant;7;Forfait
2018-01-18;VINSI;Debug des contrats visualisations;3,5;TMA
2018-01-19;Aurouze;Stats de l'année PCA et bilan;5,5;TMA
2018-01-19;VINSI;Gestion des alertes;2;TMA
2018-01-22;VINSI;Gestion des alertes avec AR;4,5;TMA
2018-01-23;IVSO;Point tél;1;TMA
2018-01-23;ODGRhone;Export DREV envoie oi;2;Forfait
2018-01-23;VINSI;Wording dans DRM;1;TMA
2018-01-24;ODGRhone;Exports et débug tickets;3;Forfait
2018-01-24;ODGRhone;Saisie des Drev avec volume à 0;3,5;Forfait
2018-01-25;Aurouze;Affichage des facture plus simpa;2,5;TMA
2018-01-26;VINSI;Gestion IGP dans SV12;5;TMA
2018-01-29;Aurouze;Analyse relou pour catherine;1,5;TMA
2018-01-29;VINSI;Gestion IGP dans SV12;5,5;TMA
2018-01-30;IVSO;Tache de réécriture des Crd avec des point;2;TMA
2018-01-30;VINSI;Import EDI Isagri Contrats;5;TMA
2018-01-31;ODGProvence;Début import;3;Forfait
2018-01-31;VINSI;Debug DRM, pt bloquant contrats;3;TMA
