Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2023-06-05;CentreLoire;Evolution écran tournées suite spint2;2;Forfait
2023-06-13;CentreLoire;Etape prelevements après tournées;2;Forfait
2023-06-15;CentreLoire;PDF prelevements condensé;4;Forfait
2023-06-22;ProvenceODG;Fromulaire calculette PP : Initialisation;4;Forfait
2023-06-27;ProvenceODG;Fromulaire calculette PP : Pour chaque DGC;4;Forfait
2023-06-27;ADM;Libération du code : avec Guy;1;Forfait
2023-06-27;ADM;Support mail;0.5;Forfait
2023-06-27;ProvenceODG;Fromulaire calculette PP : Mise en forme;2;Forfait
2023-06-29;ProvenceODG;Fromulaire calculette PP : Dans le parcellaire également;3;Forfait
2023-06-29;ProvenceODG;Fromulaire calculette PP : Finalisation et tests;3;Forfait
