Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2016-05-02;Aurouze;facture et commentaires;7;import
2016-05-02;GIILDA;IVSO lancement cron FA;1;contrat FA
2016-05-03;Aurouze;passages rapides bons bleu;7;passages
2016-05-04;Aurouze;statut contrats techniciens;8;contrats
2016-05-05;Aurouze;prestations des passages;8;import
2016-05-06;Aurouze;créa modif de compte;8;compte
2016-05-07;Aurouze;visu société et import;5;import
2016-05-08;Aurouze;résiliation contrat et import;3;Mis en prod
2016-05-09;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-10;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-11;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-12;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-13;Aurouze;Fine tuning Aurouze;8;fine tuning
2016-05-14;Aurouze;passages suivants ouverts en inter contrats;1;contrats
2016-05-17;24EME;point projet;3,5;24EME
2016-05-17;Aurouze;bon de passage et OSM;3,5;Compte
2016-05-18;Aurouze;annulation de passage;7;Passage
2016-05-19;Aurouze;import Paiements;7;Paiements
2016-05-21;Aurouze;import Paiements 2;2;Paiements
2016-05-23;24EME;visite médicale;1,5;Visite Médicale
2016-05-23;Aurouze; Paiements form;2;Paiements
2016-05-23;GIILDA;Adaptation France Agrimer;2;Export
2016-05-24;Aurouze;Gestion form Etablissements;2;Compte
2016-05-24;GIILDA;Adaptation Facture libre débug;5;Facture
2016-05-25;Aurouze;Changement de facturation contrat;2,5;Contrat
2016-05-25;GIILDA;Adaptation Facture libre débug;4;Facture
2016-05-25;GIILDA;Export Sage;1,5;Export
2016-05-25;VINSI;debug pour la saisie des revendiqués;1,5;TMA
2016-05-26;24EME;rencontre formation;1,5;Formation
2016-05-26;Aurouze;Paiement et facture;4;Import
2016-05-26;GIILDA;prendre en compte en facturation libre les societes sans etbs;1,5;Facture
2016-05-27;Aurouze;Paiement saisie et visu;8;Paiement
2016-05-30;Aurouze;Paiement pdf;3;Paiement
2016-05-31;Aurouze;facture force cloture et decloture;6;Facture
2016-05-02;Aurouze;Dev;7;Forfait
2016-05-03;24EME;Osteo;
2016-05-04;Aurouze;Dev;7;Forfait
2016-05-05;24EME;Ferie;
2016-05-06;24EME;Pont;
2016-05-09;Aurouze;Dev;7;Forfait
2016-05-10;Aurouze;Dev;7;Forfait
2016-05-11;Aurouze;Dev;7;Forfait
2016-05-12;Aurouze;Dev;7;Forfait
2016-05-13;Aurouze;Dev;7;Forfait
2016-05-16;24EME;Ferie;
2016-05-17;Aurouze;Dev;2;Forfait
2016-05-17;24EME;Point
2016-05-18;Actualys;Gestion CIEL;3;TMA
2016-05-18;DeclarVins;Evolution EDI V1 CIVP;5;TMA
2016-05-19;DeclarVins;Tickets 17372 17343;4;TMA
2016-05-19;DeclarVins;Ticket 17386 Comptes test CIEL IR;2;Forfait
2016-05-20;Aurouze;Dev;3;Forfait
2016-05-20;DeclarVins;Reunion CIEL;4;TMA
2016-05-23;DeclarVins;Correctifs suite aux tests de la reunion CIEL;5;Forfait
2016-05-23;DeclarVins;Comptes test CIEL CIVP;2;Forfait
2016-05-24;DeclarVins;CIEL EDI V2;7;Forfait
2016-05-25;DeclarVins;Export Produits DRM CDR IR;1;TMA
2016-05-25;DeclarVins;Correctifs suite aux tests CIVP CIEL;2;Forfait
2016-05-25;Aurouze;Dev;4;Forfait
2016-05-26;24EME;Rdv pythagore + Medecine Travail;
2016-05-27;Aurouze;Dev;3;Forfait
2016-05-27;DeclarVins;CIEL EDI V2;4;Forfait
2016-05-30;Aurouze;Dev;7;Forfait
2016-05-31;Aurouze;Dev;7;Forfait
2016-05-02;Aurouze;Dév;7;Dév
2016-05-03;Aurouze;Dév;7;Dév
2016-05-04;Aurouze;Dév;5;Dév
2016-05-04;AVA;Mise à jour courrier puis intervention diverse;1;TMA
2016-05-06;Aurouze;Dév;7;Dév
2016-05-07;Aurouze;Dév;2,5;Dév
2016-05-08;Aurouze;Dév;7;Dév
2016-05-09;Aurouze;Dév;7;Dév
2016-05-10;Aurouze;Dév;7;Dév
2016-05-11;Aurouze;Dév;7;Dév
2016-05-12;Aurouze;Dév;7;Dév
2016-05-13;Aurouze;Dév;6,5;Dév
2016-05-13;AVA;Interventions Corrections;0,5;TMA
2016-05-16;Aurouze;Dév;4;Dév
2016-05-17;Aurouze;Dév;3,5;Dév
2016-05-18;24EME;Temps et facturation;3,5;24EME
2016-05-18;Aurouze;Dév;1,5;Dév
2016-05-18;AVA;Points et corrections;1;TMA
2016-05-18;GIILDA;Gestion du numéro de contrat dans les factures en configuration;1;Dév
2016-05-19;Aurouze;Dév;7;Dév
2016-05-20;Aurouze;Dév;7;Dév
2016-05-23;GIILDA;Export INAO;1;Dév
2016-05-24;Aurouze;Dév;1,5;Dév
2016-05-24;AVA;Interventions et corrections;1;TMA
2016-05-24;GIILDA;Export INAO;4,5;Dév
2016-05-25;Aurouze;Dév;3,5;Dév
2016-05-25;AVA;Interventions et corrections;0,5;TMA
2016-05-26;24EME;Rendez vous Formation;2,5;24EME
2016-05-26;Aurouze;Dév;4;Dév
2016-05-27;Aurouze;Dév;3,5;Dév
2016-05-27;AVA;Interventions et corrections;1,5;TMA
2016-05-27;GIILDA;Préparation de l'import global IVBD;1,5;Dév
2016-05-30;Aurouze;Dév;3;Dév
2016-05-30;GIILDA;Points, debug et import;2;Dév
2016-05-31;Aurouze;Dév;5;Dév
2016-05-31;CIVA;Screenshot DR VT-SGN;1;TMA
2016-05-31;GIILDA;Points, debug et import;1;Dév
